Title	Issue #	Box #	Publisher	Comments
Action Comics	1	5	DC	
Action Comics	2	5	DC	
Action Comics	3	5	DC	
Action Comics	4	5	DC	
Action Comics	5	5	DC	
Action Comics	6	5	DC	
Action Comics	7	5	DC	
Action Comics	8	5	DC	
Action Comics	9	5	DC	
Action Comics	10	5	DC	
All-New All-Different Avengers	1	1	Marvel	
All-New All-Different Avengers	2	1	Marvel	
All-New All-Different Avengers	3	1	Marvel	
All-New All-Different Avengers	4	1	Marvel	
All-New All-Different Avengers	5	1	Marvel	
All-New All-Different Avengers	6	1	Marvel	
All-New All-Different Avengers	7	1	Marvel	
All-New All-Different Avengers	8	1	Marvel	
All-New All-Different Avengers	9	1	Marvel	
Amazing Spider-Man (vol. 1)	648	4	Marvel	
Amazing Spider-Man (vol. 1)	649	4	Marvel	
Amazing Spider-Man (vol. 1)	650	4	Marvel	
Amazing Spider-Man (vol. 1)	651	4	Marvel	
Amazing Spider-Man (vol. 1)	652	4	Marvel	
Amazing Spider-Man (vol. 1)	653	4	Marvel	
Amazing Spider-Man (vol. 1)	654	4	Marvel	
Amazing Spider-Man (vol. 1)	655	4	Marvel	
Amazing Spider-Man (vol. 1)	656	4	Marvel	
Amazing Spider-Man (vol. 1)	657	4	Marvel	
Amazing Spider-Man (vol. 1)	658	4	Marvel	
Amazing Spider-Man (vol. 1)	659	4	Marvel	
Amazing Spider-Man (vol. 1)	660	4	Marvel	
Amazing Spider-Man (vol. 1)	661	4	Marvel	
Amazing Spider-Man (vol. 1)	662	4	Marvel	
Amazing Spider-Man (vol. 1)	663	4	Marvel	
Amazing Spider-Man (vol. 1)	664	4	Marvel	
Amazing Spider-Man (vol. 1)	665	4	Marvel	
Amazing Spider-Man (vol. 1)	666	4	Marvel	Spider-Island
Amazing Spider-Man (vol. 1)	667	4	Marvel	Spider-Island
Amazing Spider-Man (vol. 1)	668	4	Marvel	Spider-Island
Amazing Spider-Man (vol. 1)	669	4	Marvel	Spider-Island
Amazing Spider-Man (vol. 1)	670	4	Marvel	Spider-Island
Amazing Spider-Man (vol. 1)	671	4	Marvel	Spider-Island
Amazing Spider-Man (vol. 1)	672	4	Marvel	Spider-Island
Amazing Spider-Man (vol. 1)	673	4	Marvel	Spider-Island
Amazing Spider-Man (vol. 1)	674	4	Marvel	
Amazing Spider-Man (vol. 1)	675	4	Marvel	
Amazing Spider-Man (vol. 1)	676	4	Marvel	
Amazing Spider-Man (vol. 1)	677	4	Marvel	Fortsetzung in Daredevil #8
Amazing Spider-Man (vol. 1)	678	4	Marvel	
Amazing Spider-Man (vol. 1)	679	4	Marvel	
Amazing Spider-Man (vol. 1)	680	4	Marvel	
Amazing Spider-Man (vol. 1)	681	4	Marvel	
Amazing Spider-Man (vol. 1)	682	4	Marvel	
Amazing Spider-Man (vol. 1)	683	4	Marvel	
Amazing Spider-Man (vol. 1)	684	4	Marvel	
Amazing Spider-Man (vol. 1)	685	4	Marvel	
Amazing Spider-Man (vol. 1)	686	4	Marvel	
Amazing Spider-Man (vol. 1)	687	4	Marvel	
Amazing Spider-Man (vol. 1)	688	4	Marvel	
Amazing Spider-Man (vol. 1)	689	4	Marvel	
Amazing Spider-Man (vol. 1)	690	4	Marvel	
Amazing Spider-Man (vol. 1)	691	4	Marvel	
Amazing Spider-Man (vol. 1)	692	4	Marvel	
Amazing Spider-Man (vol. 1)	693	4	Marvel	
Amazing Spider-Man (vol. 1)	694	4	Marvel	
Amazing Spider-Man (vol. 1)	695	4	Marvel	
Amazing Spider-Man (vol. 1)	696	4	Marvel	
Amazing Spider-Man (vol. 1)	697	4	Marvel	
Amazing Spider-Man (vol. 1)	698	4	Marvel	
Amazing Spider-Man (vol. 1)	699	4	Marvel	
Amazing Spider-Man (vol. 1)	700	4	Marvel	
Amazing Spider-Man (vol. 2)	1	4	Marvel	
Amazing Spider-Man (vol. 2)	2	4	Marvel	
Amazing Spider-Man (vol. 2)	3	4	Marvel	
Amazing Spider-Man (vol. 2)	4	4	Marvel	
Amazing Spider-Man (vol. 2)	5	4	Marvel	
Amazing Spider-Man (vol. 2)	6	4	Marvel	
Amazing Spider-Man (vol. 2)	7	4	Marvel	
Amazing Spider-Man (vol. 2)	8	4	Marvel	
Amazing Spider-Man (vol. 2)	9	4	Marvel	Spider-verse
Amazing Spider-Man (vol. 2)	10	4	Marvel	Spider-verse
Amazing Spider-Man (vol. 2)	11	4	Marvel	Spider-verse
Amazing Spider-Man (vol. 2)	12	4	Marvel	Spider-verse
Amazing Spider-Man (vol. 2)	13	4	Marvel	Spider-verse
Amazing Spider-Man (vol. 2)	14	4	Marvel	
Amazing Spider-Man (vol. 2)	15	4	Marvel	
Amazing Spider-Man (vol. 2)	16	4	Marvel	
Amazing Spider-Man (vol. 2)	17	4	Marvel	
Amazing Spider-Man (vol. 2)	18	4	Marvel	
Amazing Spider-Man (vol. 3)	1	4	Marvel	
Amazing Spider-Man (vol. 3)	2	4	Marvel	
Amazing Spider-Man (vol. 3)	3	4	Marvel	
Amazing Spider-Man (vol. 3)	4	4	Marvel	
Amazing Spider-Man (vol. 3)	5	4	Marvel	
Amazing Spider-Man (vol. 3)	6	4	Marvel	
Amazing Spider-Man (vol. 3)	7	4	Marvel	
Amazing Spider-Man (vol. 3)	8	4	Marvel	
Amazing Spider-Man (vol. 3)	9	4	Marvel	
Amazing Spider-Man Annual 2014	1	4	Marvel	
Animal Man	0	1	DC	
Animal Man	1	1	DC	
Animal Man	2	1	DC	
Animal Man	3	1	DC	
Animal Man	4	1	DC	
Animal Man	5	1	DC	
Animal Man	6	1	DC	
Animal Man	7	1	DC	
Animal Man	8	1	DC	
Animal Man	9	1	DC	
Animal Man	10	1	DC	
Animal Man	11	1	DC	
Animal Man	12	1	DC	Rotworld
Animal Man	13	1	DC	Rotworld
Animal Man	14	1	DC	Rotworld
Animal Man	15	1	DC	Rotworld
Animal Man	16	1	DC	Rotworld
Animal Man	17	1	DC	Rotworld
Animal Man	18	1	DC	Rotworld
Animal Man	19	1	DC	
Animal Man	20	1	DC	
Animal Man	21	1	DC	
Animal Man	22	1	DC	
Animal Man	23	1	DC	
Animal Man	24	1	DC	
Animal Man	25	1	DC	
Animal Man	26	1	DC	
Animal Man	27	1	DC	
Animal Man	28	1	DC	
Animal Man	29	1	DC	
Animal Man Annual	1	1	DC	
Aquaman	0	5	DC	
Aquaman	1	5	DC	
Aquaman	2	5	DC	
Aquaman	3	5	DC	
Aquaman	4	5	DC	
Aquaman	5	5	DC	
Aquaman	6	5	DC	
Aquaman	7	5	DC	
Aquaman	8	5	DC	
Aquaman	9	5	DC	
Aquaman	10	5	DC	
Aquaman	12	5	DC	
Aquaman	13	5	DC	
Aquaman	14	5	DC	
Batman	0	5	DC	
Batman	1	5	DC	
Batman	2	5	DC	
Batman	3	5	DC	
Batman	4	5	DC	
Batman	5	5	DC	
Batman	6	5	DC	
Batman	7	5	DC	
Batman	8	5	DC	
Batman	9	5	DC	
Batman	10	5	DC	
Batman	11	5	DC	
Batman	12	5	DC	
Batman	13	5	DC	
Batman	14	5	DC	
Batman	15	5	DC	
Batman	16	5	DC	
Batman	17	5	DC	
Batman	18	5	DC	
Batman	19	5	DC	
Batman	20	5	DC	
Batman	21	5	DC	
Batman	22	5	DC	
Batman	23	5	DC	
Batman	24	5	DC	
Batman	25	5	DC	
Batman	26	5	DC	
Batman	27	5	DC	
Batman	28	5	DC	
Batman	29	5	DC	
Batman	30	5	DC	
Batman & Robin	13	5	DC	
Batman & Robin	14	5	DC	
Batman & Robin	15	5	DC	
Batman & Robin	16	5	DC	
Batman Annual	1	5	DC	
Batman Beyond	1	5	DC	
Batman Beyond	2	5	DC	
Batman Beyond	3	5	DC	
Batman Beyond	4	5	DC	
Batman, Inc.	1	5	DC	
Batman, Inc.	2	5	DC	
Batman, Inc.	3	5	DC	
Batman, Inc.	4	5	DC	
Batman, Inc.	5	5	DC	
Batman, Inc.	6	5	DC	
Batman, Inc.	7	5	DC	
Batman, Inc. Leviathan Strikes	1	5	DC	
Batman: The Return	1	5	DC	
Batwoman	0	5	DC	
Batwoman	1	5	DC	
Batwoman	2	5	DC	
Batwoman	3	5	DC	
Batwoman	4	5	DC	
Batwoman	5	5	DC	
Black Magick	1		Image	
Black Magick	2		Image	
Black Magick	3		Image	
Black Magick	4		Image	
Black Magick	5		Image	
Captain Marvel (vol. 6)	1	6	Marvel	
Captain Marvel (vol. 6)	2	6	Marvel	
Captain Marvel (vol. 6)	3	6	Marvel	
Captain Marvel (vol. 6)	4	6	Marvel	
Captain Marvel (vol. 6)	5	6	Marvel	
Captain Marvel (vol. 6)	6	6	Marvel	
Captain Marvel (vol. 6)	7	6	Marvel	
Captain Marvel (vol. 6)	8	6	Marvel	
Captain Marvel (vol. 6)	9	6	Marvel	
Captain Marvel (vol. 6)	10	6	Marvel	
Captain Marvel (vol. 6)	11	6	Marvel	
Captain Marvel (vol. 6)	12	6	Marvel	
Captain Marvel (vol. 6)	13	6	Marvel	
Captain Marvel (vol. 6)	14	6	Marvel	
Captain Marvel (vol. 6)	15	6	Marvel	
Captain Marvel (vol. 6)	16	6	Marvel	
Captain Marvel (vol. 6)	17	6	Marvel	
Captain Marvel (vol. 8)	1		Marvel	
Captain Marvel (vol. 8)	2		Marvel	
Captain Marvel (vol. 8)	3		Marvel	
Captain Marvel (vol. 8)	4		Marvel	
Catwoman (vol. 1)	0	3	DC	
Catwoman (vol. 1)	1	3	DC	
Catwoman (vol. 1)	2	3	DC	
Catwoman (vol. 1)	3	3	DC	
Catwoman (vol. 1)	4	3	DC	
Catwoman (vol. 1)	5	3	DC	
Catwoman (vol. 1)	6	3	DC	
Catwoman (vol. 1)	7	3	DC	
Catwoman (vol. 1)	8	3	DC	
Catwoman (vol. 1)	9	3	DC	
Catwoman (vol. 1)	10	3	DC	
Catwoman (vol. 1)	11	3	DC	
Catwoman (vol. 1)	12	3	DC	
Catwoman (vol. 1)	13	3	DC	
Catwoman (vol. 1)	14	3	DC	
Catwoman (vol. 1)	15	3	DC	
Catwoman (vol. 1)	16	3	DC	
Catwoman (vol. 1)	17	3	DC	
Catwoman (vol. 1)	18	3	DC	
Catwoman (vol. 1)	19	3	DC	
Catwoman (vol. 1)	20	3	DC	
Catwoman (vol. 1)	21	3	DC	
Catwoman (vol. 1)	22	3	DC	
Catwoman (vol. 1)	23	3	DC	
Catwoman (vol. 1)	24	3	DC	
Catwoman (vol. 1)	25	3	DC	
Catwoman (vol. 1)	26	3	DC	
Catwoman (vol. 1)	27	3	DC	
Catwoman (vol. 1)	28	3	DC	
Catwoman (vol. 1)	29	3	DC	
Catwoman (vol. 1)	30	3	DC	
Catwoman (vol. 1)	31	3	DC	
Catwoman (vol. 1)	32	3	DC	
Catwoman (vol. 1)	33	3	DC	
Catwoman (vol. 1)	34	3	DC	
Catwoman (vol. 1)	35	3	DC	
Catwoman (vol. 1)	36	3	DC	
Catwoman (vol. 1)	37	3	DC	
Catwoman (vol. 1)	38	3	DC	
Catwoman (vol. 1)	39	3	DC	
Catwoman (vol. 1)	40	3	DC	
Catwoman (vol. 1)	41	3	DC	
Catwoman (vol. 1)	42	3	DC	
Catwoman (vol. 1)	43	3	DC	
Catwoman (vol. 1)	44	3	DC	
Catwoman (vol. 1)	45	3	DC	
Catwoman (vol. 1)	46	3	DC	
Catwoman (vol. 1)	47	3	DC	
Catwoman (vol. 1)	48	3	DC	
Catwoman (vol. 1)	49	3	DC	
Catwoman (vol. 1)	50	3	DC	
Catwoman (vol. 1)	51	3	DC	
Catwoman (vol. 1)	52	3	DC	
Catwoman (vol. 1)	53	3	DC	
Catwoman (vol. 1)	54	3	DC	
Catwoman (vol. 1)	55	3	DC	
Catwoman (vol. 1)	56	3	DC	
Catwoman (vol. 1)	57	3	DC	
Catwoman (vol. 1)	58	3	DC	
Catwoman (vol. 1)	59	3	DC	
Catwoman (vol. 1)	60	3	DC	
Catwoman (vol. 1)	61	3	DC	
Catwoman (vol. 1)	62	3	DC	
Catwoman (vol. 1)	63	3	DC	
Catwoman (vol. 1)	64	3	DC	
Catwoman (vol. 1)	65	3	DC	
Catwoman (vol. 1)	66	3	DC	
Catwoman (vol. 1)	67	3	DC	
Catwoman (vol. 1)	68	3	DC	
Catwoman (vol. 1)	69	3	DC	
Catwoman (vol. 1)	70	3	DC	
Catwoman (vol. 1)	71	3	DC	
Catwoman (vol. 1)	72	3	DC	
Catwoman (vol. 1)	73	3	DC	
Catwoman (vol. 1)	74	3	DC	
Catwoman (vol. 1)	75	3	DC	
Catwoman (vol. 1)	76	3	DC	
Catwoman (vol. 1)	77	3	DC	
Catwoman (vol. 1)	78	3	DC	
Catwoman (vol. 1)	79	3	DC	
Catwoman (vol. 1)	80	3	DC	
Catwoman (vol. 1)	81	3	DC	
Catwoman (vol. 1)	82	3	DC	
Catwoman (vol. 1)	83	3	DC	
Catwoman (vol. 1)	84	3	DC	
Catwoman (vol. 1)	85	3	DC	
Catwoman (vol. 1)	86	3	DC	
Catwoman (vol. 1)	87	3	DC	
Catwoman (vol. 1)	88	3	DC	
Catwoman (vol. 1)	89	3	DC	
Catwoman (vol. 1)	90	3	DC	
Catwoman (vol. 1)	91	3	DC	
Catwoman (vol. 1)	92	3	DC	
Catwoman (vol. 1)	93	3	DC	
Catwoman (vol. 1)	94	3	DC	
Catwoman (vol. 1)	1000000	3	DC	
Catwoman (vol. 2)	1	3	DC	
Catwoman (vol. 2)	2	3	DC	
Catwoman (vol. 2)	3	3	DC	
Catwoman (vol. 2)	4	3	DC	
Catwoman (vol. 2)	5	3	DC	
Catwoman (vol. 2)	6	3	DC	
Catwoman (vol. 2)	7	3	DC	
Catwoman (vol. 2)	8	3	DC	
Catwoman (vol. 2)	9	3	DC	
Catwoman (vol. 2)	10	3	DC	
Catwoman (vol. 2)	11	3	DC	
